見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,ロウ人形館,0,0
上野,うえの,上野,名詞,地名,代表表記:上野/うえの 地名:日本:群馬県:村,ロウ人形館,0,0
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,ロウ人形館,0,0
の,の,の,助詞,格助詞,NIL,ロウ人形館,0,0
不忍池,しのばずのいけ,不忍池,名詞,地名,自動獲得:Wikipedia Wikipedia地名,ロウ人形館,0,0
の,の,の,助詞,接続助詞,NIL,ロウ人形館,0,0
そば,そば,そば,名詞,普通名詞,代表表記:傍/そば カテゴリ:場所-機能,ロウ人形館,0,0
に,に,に,助詞,格助詞,NIL,ロウ人形館,0,0
、,、,、,特殊,読点,NIL,ロウ人形館,0,0
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,ロウ人形館,0,0
建物,たてもの,建物,名詞,普通名詞,代表表記:建物/たてもの カテゴリ:場所-施設,ロウ人形館,0,0
が,が,が,助詞,格助詞,NIL,ロウ人形館,0,0
たち,たち,たつ,動詞,*,代表表記:建つ/たつ 自他動詞:他:建てる/たてる,ロウ人形館,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,ロウ人形館,0,0
。,。,。,特殊,句点,NIL,ロウ人形館,0,0
両,りょう,両,接頭辞,名詞接頭辞,代表表記:両/りょう 内容語,ロウ人形館,0,1
国,くに,国,名詞,普通名詞,代表表記:国/くに ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 地名末尾,ロウ人形館,0,1
の,の,の,助詞,接続助詞,NIL,ロウ人形館,0,1
もと,もと,もと,名詞,普通名詞,代表表記:元/もと カテゴリ:場所-機能;抽象物 漢字読み:訓 〜を〜に構成語,ロウ人形館,0,1
の,の,の,助詞,接続助詞,NIL,ロウ人形館,0,1
国技,こくぎ,国技,名詞,普通名詞,代表表記:国技/こくぎ ドメイン:スポーツ カテゴリ:抽象物,ロウ人形館,0,1
館,かん,館,名詞,普通名詞,代表表記:館/かん カテゴリ:場所-施設 漢字読み:音,ロウ人形館,0,1
を,を,を,助詞,格助詞,NIL,ロウ人形館,0,1
ぐっと,ぐっと,ぐっと,副詞,*,代表表記:グッと/ぐっと スル接続可能,ロウ人形館,0,1
小さく,ちいさく,小さい,形容詞,*,代表表記:小さい/ちいさい 反義:形容詞:大きい/おおきい,ロウ人形館,0,1
した,した,する,接尾辞,動詞性接尾辞,代表表記:する/する,ロウ人形館,0,1
ような,ような,ようだ,助動詞,*,NIL,ロウ人形館,0,1
、,、,、,特殊,読点,NIL,ロウ人形館,0,1
まるい,まるい,まるい,形容詞,*,代表表記:丸い/まるい 名詞派生:丸/まる,ロウ人形館,0,1
建物,たてもの,建物,名詞,普通名詞,代表表記:建物/たてもの カテゴリ:場所-施設,ロウ人形館,0,1
で,で,だ,判定詞,*,NIL,ロウ人形館,0,1
、,、,、,特殊,読点,NIL,ロウ人形館,0,1
外がわ,そとがわ,外がわ,名詞,普通名詞,代表表記:外側/そとがわ カテゴリ:場所-機能,ロウ人形館,0,1
の,の,の,助詞,接続助詞,NIL,ロウ人形館,0,1
壁,かべ,壁,名詞,普通名詞,代表表記:壁/かべ カテゴリ:場所-施設部位 漢字読み:訓,ロウ人形館,0,1
も,も,も,助詞,副助詞,NIL,ロウ人形館,0,1
、,、,、,特殊,読点,NIL,ロウ人形館,0,1
まる,まる,まる,接頭辞,名詞接頭辞,代表表記:まる/まる,ロウ人形館,0,1
