見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
骸骨,がいこつ,骸骨,名詞,普通名詞,代表表記:骸骨/がいこつ カテゴリ:動物-部位,0,0
紳士,しんし,紳士,名詞,普通名詞,代表表記:紳士/しんし カテゴリ:人,0,0
。,。,。,特殊,句点,NIL,0,0
ある,ある,ある,連体詞,*,代表表記:或る/ある,0,1
夕,ゆう,夕,名詞,時相名詞,代表表記:夕/ゆう カテゴリ:時間 漢字読み:訓,0,1
がた,がた,がた,接尾辞,名詞性名詞接尾辞,代表表記:方/がた,0,1
、,、,、,特殊,読点,NIL,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,1
団,だん,団,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,0,1
の,の,の,助詞,接続助詞,NIL,0,1
名,な,名,名詞,普通名詞,代表表記:名/な カテゴリ:抽象物 漢字読み:訓,0,1
コンビ,こんび,コンビ,名詞,普通名詞,代表表記:コンビ/こんび カテゴリ:組織・団体,0,1
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,0,1
一郎,いちろう,一郎,名詞,人名,人名:日本:名:14:0.00142,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,1
と,と,と,助詞,格助詞,NIL,0,1
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,0,1
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,0,1
と,と,と,助詞,格助詞,NIL,0,1
が,が,が,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
世田谷,せたがや,世田谷,名詞,地名,代表表記:世田谷/せたがや 地名:日本:東京都:区,0,1
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,1
の,の,の,助詞,格助詞,NIL,0,1
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,0,1
やしき,やしき,やしき,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,0,1
まち,まち,まち,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,0,1
を,を,を,助詞,格助詞,NIL,0,1
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
きょう,きょう,きょう,名詞,時相名詞,代表表記:今日/きょう カテゴリ:時間,0,2
は,は,は,助詞,副助詞,NIL,0,2
井上,いのうえ,井上,名詞,人名,人名:日本:姓:17:0.00485,0,2
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,2
の,の,の,助詞,接続助詞,NIL,0,2
ほう,ほう,ほう,名詞,副詞的名詞,代表表記:方/ほう,0,2
が,が,が,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,0,2
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,0,2
の,の,の,助詞,接続助詞,NIL,0,2
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,2
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,2
へ,へ,へ,助詞,格助詞,NIL,0,2
遊び,あそび,遊ぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,0,2
に,に,に,助詞,格助詞,NIL,0,2
いった,いった,いく,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,0,2
ので,ので,のだ,助動詞,*,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,0,2
